timestamp_ns,rtt_us,run_id,path,sequence
1788752400001000000,183.74,1,vpc_peering,1
1788752400002000000,177.6,1,vpc_peering,2
1788752400003000000,164.98,1,vpc_peering,3
1788752400004000000,151.82,1,vpc_peering,4
1788752400005000000,165.88,1,vpc_peering,5
1788752400006000000,195.35,1,vpc_peering,6
1788752400007000000,183.36,1,vpc_peering,7
1788752400008000000,140.82,1,vpc_peering,8
1788752400009000000,167.84,1,vpc_peering,9
1788752400010000000,161.25,1,vpc_peering,10
1788752400011000000,195.5,1,vpc_peering,11
1788752400012000000,177.71,1,vpc_peering,12
1788752400013000000,174.81,1,vpc_peering,13
1788752400014000000,198.92,1,vpc_peering,14
1788752400015000000,154.86,1,vpc_peering,15
1788752400016000000,163.22,1,vpc_peering,16
1788752400017000000,137.78,1,vpc_peering,17
1788752400018000000,184.42,1,vpc_peering,18
1788752400019000000,171.81,1,vpc_peering,19
1788752400020000000,179.06,1,vpc_peering,20
1788752400021000000,183.23,1,vpc_peering,21
1788752400022000000,152.35,1,vpc_peering,22
1788752400023000000,168.02,1,vpc_peering,23
1788752400024000000,157.5,1,vpc_peering,24
1788752400025000000,159.36,1,vpc_peering,25
1788752400026000000,173.06,1,vpc_peering,26
1788752400027000000,180.09,1,vpc_peering,27
1788752400028000000,169.37,1,vpc_peering,28
1788752400029000000,173.25,1,vpc_peering,29
1788752400030000000,167.73,1,vpc_peering,30
1788752400031000000,153.26,1,vpc_peering,31
1788752400032000000,170.62,1,vpc_peering,32
1788752400033000000,175.84,1,vpc_peering,33
1788752400034000000,183.29,1,vpc_peering,34
1788752400035000000,176.36,1,vpc_peering,35
1788752400036000000,163.61,1,vpc_peering,36
1788752400037000000,192.81,1,vpc_peering,37
1788752400038000000,174.72,1,vpc_peering,38
1788752400039000000,149.4,1,vpc_peering,39
1788752400040000000,185.56,1,vpc_peering,40
1788752400041000000,161.8,1,vpc_peering,41
1788752400042000000,176.06,1,vpc_peering,42
1788752400043000000,166.22,1,vpc_peering,43
1788752400044000000,155.14,1,vpc_peering,44
1788752400045000000,197.16,1,vpc_peering,45
1788752400046000000,177.17,1,vpc_peering,46
1788752400047000000,154.02,1,vpc_peering,47
1788752400048000000,184.16,1,vpc_peering,48
1788752400049000000,147.71,1,vpc_peering,49
1788752400050000000,168.23,1,vpc_peering,50
1788752400051000000,157.98,1,vpc_peering,51
1788752400052000000,177.67,1,vpc_peering,52
1788752400053000000,183.5,1,vpc_peering,53
1788752400054000000,173.06,1,vpc_peering,54
1788752400055000000,188.61,1,vpc_peering,55
1788752400056000000,174.93,1,vpc_peering,56
1788752400057000000,174.85,1,vpc_peering,57
1788752400058000000,186.09,1,vpc_peering,58
1788752400059000000,154.94,1,vpc_peering,59
1788752400060000000,186.16,1,vpc_peering,60
1788752400061000000,160.47,1,vpc_peering,61
1788752400062000000,172.25,1,vpc_peering,62
1788752400063000000,150.23,1,vpc_peering,63
1788752400064000000,175.35,1,vpc_peering,64
1788752400065000000,158.93,1,vpc_peering,65
1788752400066000000,139.22,1,vpc_peering,66
1788752400067000000,205.22,1,vpc_peering,67
1788752400068000000,171.11,1,vpc_peering,68
1788752400069000000,186.7,1,vpc_peering,69
1788752400070000000,190.6,1,vpc_peering,70
